Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,RunSize,'Today'(02/02)Passage%,WaterSupplyAprSepPercentofNormal
2023 YTD,,,,,,,,,,,,, (YTD),,82%
Average (2000 - 2022),3-Apr,16-Apr,22-Apr,26-Apr,4-May,22-May,13-Jun,23-Jun,16-Jul,53.4,26.7,68.6,139.5,0.00%,
Median (2000 - 2022),7-Apr,20-Apr,24-Apr,28-Apr,3-May,11-May,28-Jun,7-Jul,19-Jul,65,13,78,77,0.00%,
2022,21-Mar,22-Apr,24-Apr,28-Apr,3-May,10-May,16-May,20-May,15-Jul,23,13,29,207,0.00%,100%
2021,19-Apr,22-Apr,26-Apr,28-Apr,2-May,8-May,14-May,30-Jun,13-Jul,19,11,70,71,0.00%,93%
2020,16-Apr,19-Apr,28-Apr,1-May,5-May,16-May,6-Jul,10-Jul,14-Aug,70,16,83,42,0.00%,103%
2019,2-May,2-May,3-May,8-May,30-May,3-Jul,9-Jul,11-Jul,12-Jul,68,57,71,22,0.00%,86%
2018,28-Apr,1-May,5-May,8-May,20-May,1-Jul,7-Jul,12-Jul,19-Jul,64,55,73,37,0.00%,104%
2017,27-Feb,27-Feb,1-May,5-May,17-May,23-May,1-Jul,5-Jul,5-Jul,62,19,129,19,0.00%,92%
2016,2-Apr,16-Apr,21-Apr,27-Apr,30-Apr,7-May,15-May,24-May,10-Jul,25,11,39,65,0.00%,94%
2015,9-Apr,12-Apr,16-Apr,20-Apr,28-Apr,9-May,25-May,27-Jun,27-Aug,40,20,77,80,0.00%,92%
2014,7-Apr,18-Apr,20-Apr,25-Apr,30-Apr,7-May,25-Jun,10-Jul,8-Aug,67,13,84,115,0.00%,83%
2013,5-Mar,23-Apr,25-Apr,29-Apr,6-May,24-Jun,7-Jul,18-Jul,4-Aug,74,57,87,53,0.00%,80%
2012,7-Apr,20-Apr,23-Apr,2-May,8-May,14-May,4-Jul,6-Jul,17-Jul,73,13,78,99,0.00%,109%
2011,20-Apr,26-Apr,28-Apr,3-May,9-May,18-May,6-Jul,15-Jul,27-Jul,70,16,81,99,0.00%,116%
2010,29-Mar,13-Apr,15-Apr,21-Apr,28-Apr,6-May,3-Jul,11-Jul,19-Jul,80,16,90,189,0.00%,88%
2009,22-Apr,24-Apr,26-Apr,2-May,8-May,16-May,28-Jun,9-Jul,17-Jul,64,15,77,75,0.00%,93%
2008,6-Apr,18-Apr,19-Apr,29-Apr,11-May,5-Jul,14-Jul,17-Jul,1-Aug,87,68,91,111,0.00%,107%
2007,12-Apr,13-Apr,15-Apr,19-Apr,26-Apr,9-May,21-Jun,29-Jun,19-Jul,68,21,78,77,0.00%,91%
2006,21-Feb,26-Apr,30-Apr,4-May,8-May,11-May,15-May,20-May,2-Jul,16,8,25,397,0.00%,111%
2005,11-Apr,20-Apr,22-Apr,25-Apr,28-Apr,4-May,11-May,16-May,19-Jul,20,10,27,602,0.00%,78%
2004,24-Mar,13-Apr,15-Apr,18-Apr,22-Apr,30-Apr,6-May,12-May,15-Jul,22,13,30,653,0.00%,93%
2003,2-Mar,18-Mar,28-Mar,10-Apr,7-May,27-Jun,11-Jul,16-Jul,13-Aug,106,79,121,104,0.00%,90%
2002,5-Apr,20-Apr,26-Apr,28-Apr,3-May,29-Jun,11-Jul,17-Jul,23-Jul,77,63,89,72,0.00%,108%
2001,6-Apr,6-Apr,7-Apr,10-Apr,17-Apr,27-Apr,8-May,23-May,23-May,32,18,48,18,0.00%,63% D
2000,23-Apr,23-Apr,23-Apr,23-Apr,23-Apr,23-Apr,23-Apr,23-Apr,23-Apr,1,1,1,1,0.00%,100%
